属性名,值类型,说明
background_color,数字,背景颜色，用四通道十六进制数表示。
background_fill_mode,字符串,背景图片填充模式，可以是以下值：<ul><li>'Positioning'</li><li>'Fill'</li><li>'FitWidth'</li><li>'FitHeight'</li><li>'FitMin'</li><li>'FitMax'</li></ul>默认为'Positioning'，即根据background_position_mode定位。
background_image,字符串,背景图片的完整路径，包括后缀。
background_position_mode,字符串,背景图片位置模式，仅当background_fill_mode设置为'Positioning'时有用。可以是以下值：<ul><li>'Normal'</li><li>'TopLeft'</li><li>'TopRight'</li><li>'TopCenter'</li><li>'BottomLeft'</li><li>'BottomRight'</li><li>'BottomCenter'</li><li>'CenterLeft'</li><li>'CengerRight'</li><li>'CenterAll'</li></ul>默认为'Normal'，即根据background_x，background_y来定位。
background_x,数字,背景图片相对本组件左上角的水平位置。
background_y,数字,背景图片相对本组件左上角的垂直位置。
display,字符串,可以设置的值有3个：<ul><li>'unhidden'：显示被设为隐藏的组件。</li><li>'hidden'：隐藏正在显示的组件。</li><li>'toggle'：切换显示隐藏状态。</li></ul>
father,字符串,父组件的ID。若不设置，将默认为'global_root'，即该屏幕的根组件。
height,数字,组件的高度，以像素为单位。
layer,数字,层深，为 0-255 间的数字，数字较大的层在数字较小的层前面。
name,字符串,组件的ID，同一个屏幕中只允许存在一个该ID的组件。
rotation,数字,组件绕旋转中心逆时针旋转的弧度。
rotation_center_x,数字,组件旋转中心相对父组件左上角的水平位置，以像素为单位。
rotation_center_y,数字,组件旋转中心相对父组件左上角的垂直位置，以像素为单位。
transparency,数字,透明度，可以是 0 - 1 之间的数。0 为全透。
width,数字,组件的宽度，以像素为单位。
x,数字,组件相对父组件左上角的水平位置，以像素为单位。
y,数字,组件相对父组件左上角的垂直位置，以像素为单位。
absolute,布尔值,是否以绝对模式绘制，默认为true。
