属性名,值类型,说明
on_click,字符串,鼠标左键在UI组件上单击时执行的脚本。
on_dclick,字符串,鼠标左键在UI组件上双击时执行的脚本。
on_up,字符串,鼠标左键在UI组件上弹起时执行的脚本。
on_down,字符串,鼠标左键在UI组件上按下时执行的脚本。
on_rclick,字符串,鼠标右键在UI组件上单击时执行的脚本。
on_rdclick,字符串,鼠标右键在UI组件上双击时执行的脚本。
on_rup,字符串,鼠标右键在UI组件上弹起时执行的脚本。
on_rdown,字符串,鼠标右键在UI组件上按下时执行的脚本。
on_mclick,字符串,鼠标中键在UI组件上单击时执行的脚本。
on_mdclick,字符串,鼠标中键在UI组件上双击时执行的脚本。
on_mup,字符串,鼠标中键在UI组件上弹起时执行的脚本。
on_mdown,字符串,鼠标中键在UI组件上按下时执行的脚本。
on_scroll_up,字符串,鼠标滚轮在UI组件上上滚时执行的脚本。
on_scroll_down,字符串,鼠标滚轮在UI组件上下滚时执行的脚本。
on_mouse,字符串,鼠标在UI组件上时执行的脚本。
on_mouse_in,字符串,鼠标进入UI组件时执行的脚本。
on_mouse_out,字符串,鼠标离开UI组件时执行的脚本。
catch_click,字符串,鼠标左键在任何地方单击时执行的脚本。
catch_dclick,字符串,鼠标左键在任何地方双击时执行的脚本。
catch_up,字符串,鼠标左键在任何地方弹起时执行的脚本。
catch_down,字符串,鼠标左键在任何地方按下时执行的脚本。
catch_rclick,字符串,鼠标右键在任何地方单击时执行的脚本。
catch_rdclick,字符串,鼠标右键在任何地方双击时执行的脚本。
catch_rup,字符串,鼠标右键在任何地方弹起时执行的脚本。
catch_rdown,字符串,鼠标右键在任何地方按下时执行的脚本。
catch_mclick,字符串,鼠标中键在任何地方单击时执行的脚本。
catch_mdclick,字符串,鼠标中键在任何地方双击时执行的脚本。
catch_mup,字符串,鼠标中键在任何地方弹起时执行的脚本。
catch_mdown,字符串,鼠标中键在任何地方按下时执行的脚本。
catch_scroll_up,字符串,鼠标滚轮在任何地方上滚时执行的脚本。
catch_scroll_down,字符串,鼠标滚轮在任何地方下滚时执行的脚本。
on_key_press_XXX,字符串,键盘按键XXX持续被按下时执行的脚本。(0.9以上版本支持)
on_key_up_XXX,字符串,键盘按键XXX弹起时执行的脚本。(0.9以上版本支持)
on_key_down_XXX,字符串,键盘按键XXX按下时执行的脚本。(0.9以上版本支持)
on_scroll_down_max,字符串,在列表中鼠标滚轮往下滚到尽头时触发的事件，@list独有。(0.9以上版本支持)
on_scroll_up_min,字符串,在列表中鼠标滚轮向上滚到尽头时触发的事件@list独有。(0.9以上版本支持)
