属性名,值类型,说明
name,字符串,粒子系统的ID，全局唯一。
tex_src,字符串,粒子图的相对路径。
width,数字,粒子系统宽度（像素）。
height,数字,粒子系统高度（像素）。
born_x_min,数字,粒子产生的最小横坐标。
born_x_max,数字,粒子产生的最大横坐标。
born_y_min,数字,粒子产生的最小纵坐标。
born_y_max,数字,粒子产生的最大纵坐标。
live_x_min,数字,粒子活动的最小横坐标。
live_x_max,数字,粒子活动的最大横坐标。
live_y_min,数字,粒子活动的最小纵坐标。
live_y_max,数字,粒子活动的最大纵坐标。
color,十六进制数,粒子的颜色（正片叠底）。
num_max,数字,粒子数量上限。
live_time,数字,粒子存活时间（秒）。
fade_time,数字,粒子渐出时间（秒）。
shoot_rate,数字,粒子发射频率（个/秒）。
shoot_velocity_min,数字,粒子发射的最小速率（像素/秒）。
shoot_velocity_max,数字,粒子发射的最大速率（像素/秒）。
shoot_angle_min,数字,粒子发射的最小角度（弧度）。
shoot_angle_max,数字,粒子发射的最大角度（弧度）。
acceleration_x,数字,粒子系统水平加速度（像素/平方秒）。
acceleration_y,数字,粒子系统竖直加速度（像素/平方秒）。
scale_min,数字,粒子最小缩放率。
scale_max,数字,粒子最大缩放率。
scale_rate_min,数字,粒子最小缩放频率（缩放率/秒）。
scale_rate_max,数字,粒子最大缩放频率（缩放率/秒）。
special_rotation,布尔值,是否开启特殊旋转功能。开启后，粒子发射前将旋转到与发射速度一致（类似于弹幕发射）。
rotate_min,数字,粒子图的初始最小旋转角（弧度）。
rotate_max,数字,粒子图的初始最大旋转角（弧度）。
rotate_rate_min,数字,粒子发射后的最小旋转率（弧度/秒）。若开启特殊旋转，粒子将至少以该速度绕发射速度方向旋转。
rotate_rate_max,数字,粒子发射后的最大旋转率（弧度/秒）。若开启特殊旋转，粒子将至多以该速度绕发射速度方向旋转。
control,布尔值,"控制，可以是'Play', 'Stop', 'Pause'。"
