名称,类型,只读,描述
tex,字符串,否,粒子图路径或其他图像容器。
width,数字,否,粒子系统宽度（像素）。
height,数字,否,粒子系统高度（像素）。
bornXMin,数字,否,粒子产生的最小横坐标。
bornXMax,数字,否,粒子产生的最大横坐标。
bornYMin,数字,否,粒子产生的最小纵坐标。
bornYMax,数字,否,粒子产生的最大纵坐标。
liveXMin,数字,否,粒子活动的最小横坐标。
liveXMax,数字,否,粒子活动的最大横坐标。
liveYMin,数字,否,粒子活动的最小纵坐标。
liveYMax,数字,否,粒子活动的最大纵坐标。
color,十六进制数,否,粒子的颜色（正片叠底）。
backgroundColor,十六进制数,否,粒子系统的底色。
countMax,数字,否,粒子数量上限。
liveTime,数字,否,粒子存活时间（秒）。
fadeTime,数字,否,粒子渐出时间（秒）。
shootRate,数字,否,粒子发射频率（个/秒）。
shootVelocityMin,数字,否,粒子发射的最小速率（像素/秒）。
shootVelocityMax,数字,否,粒子发射的最大速率（像素/秒）。
shootAngleMin,数字,否,粒子发射的最小角度（弧度）。
shootAngleMax,数字,否,粒子发射的最大角度（弧度）。
accelerationX,数字,否,粒子系统水平加速度（像素/平方秒）。
accelerationY,数字,否,粒子系统竖直加速度（像素/平方秒）。
scaleMin,数字,否,粒子最小缩放率。
scaleMax,数字,否,粒子最大缩放率。
scaleRateMin,数字,否,粒子最小缩放频率（缩放率/秒）。
scaleRateMax,数字,否,粒子最大缩放频率（缩放率/秒）。
specialRotation,布尔值,否,是否开启特殊旋转功能。<br/>开启后，粒子发射前将旋转到与发射速度一致（类似于弹幕发射）。
rotationMin,数字,否,粒子图的初始最小旋转角（弧度）。
rotationMax,数字,否,粒子图的初始最大旋转角（弧度）。
rotateRateMin,数字,否,粒子发射后的最小旋转率（弧度/秒）。<br/>若开启特殊旋转，粒子将至少以该速度绕发射速度方向旋转。
rotateRateMax,数字,否,粒子发射后的最大旋转率（弧度/秒）。<br/>若开启特殊旋转，粒子将至多以该速度绕发射速度方向旋转。
